Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2025-01-22T17:19:11.000Z,,,0.000001,XRP,0,XRP,0.00000317908,USD,,,4321D8B7A4EDC561F3B9728DBD479854126B446CFF664027BAA355C06CF18083
2025-01-22T17:18:51.000Z,-5.000012,XRP,,,0.000012,XRP,-15.9005381612,USD,,,27F0873BA8A0751821F0D46940472A8DC66F8F298C9031B2F286BE3BA888AF16
2025-01-22T17:17:52.000Z,,,0.000001,XRP,0,XRP,0.00000317584,USD,,,168565706058F808849FBF23E7D926051AA380CBBEFE7BA333D4ACFB0565B2B3
2025-01-22T17:17:41.000Z,-5.000012,XRP,,,0.000012,XRP,-15.87408809772,USD,,,3F21D454EAECB1A9F334020D6F3E8C60EA5CB75F1A730F040A46E6164A2AAF2D
2025-01-22T17:16:20.000Z,,,,,0,XRP,15.4208419350890128,USD,,,5BB713EC5F49EFCEAD0143B1428005814D8A8C997B25AB2975AA27B39DD4A0BF
2025-01-22T17:16:20.000Z,-5.000012,XRP,,,0.000012,XRP,-15.8772881054,USD,,,5BB713EC5F49EFCEAD0143B1428005814D8A8C997B25AB2975AA27B39DD4A0BF
2025-01-22T17:13:20.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00003806172,USD,,,A7644D8978AE4BCC5B1A88C108FC07A486F0676287ABFE9D47724E097547CC49
2025-01-22T14:37:00.000Z,,,0.000001,XRP,0,XRP,0.0000031801,USD,,,C29F38160A6085E738DF2B6C0063A1F194E8BD3184AFFD2C9CEFB42D1A0F31B2
2025-01-22T14:36:40.000Z,-1.630012,XRP,,,0.000012,XRP,-5.1836011612,USD,,,54C63F6C4F9EF5FCCA4D6968D50E98C58F8B36DF802D033FDB10D0A5AF470DF3
2025-01-21T19:27:51.000Z,,,0.000001,XRP,0,XRP,0.00000321105,USD,,,684868141C2AAEC4E1832928C988D32508775C784DADC3E4C05D6501568CF274
2025-01-21T19:27:50.000Z,,,0.000001,XRP,0,XRP,0.00000321105,USD,,,87B9785CA295509B21A47138F0F7F05563FCC96461C4F225142CC9DF9D7775E8
2025-01-21T19:27:30.000Z,-50000,4F41520000000000000000000000000000000000,,,0,XRP,-20.40622275,USD,,,76C5710A6E2ED38B26946E2B2D18FED91FA3D736105934422777D0126938170B
2025-01-21T19:27:30.000Z,,,,,0.000012,XRP,25.8628435023,USD,,,76C5710A6E2ED38B26946E2B2D18FED91FA3D736105934422777D0126938170B
2025-01-21T02:40:51.000Z,,,0.000001,XRP,0,XRP,0.00000311751,USD,,,AA76516D996F34F4FF99D4799912C2BA6F4ABDCBB92F824E9BCFA9BE41B2AFE2
2025-01-21T02:40:10.000Z,-2475.000012,XRP,,,0.000012,XRP,-7715.83728741012,USD,,,1FA69F19FCDD8DB6A77D9ADA7B4F54EFD583F8C3DDCA8B7DD955256B313728FC
2025-01-21T02:38:21.000Z,,,0.000001,XRP,0,XRP,0.00000311751,USD,,,FFD71C900129D72FD81797FB74696D7977BC80F3A1B10DEE705A5E94C1D1C26F
2025-01-21T02:38:01.000Z,-25.000012,XRP,,,0.000012,XRP,-77.93778741012,USD,,,1866C107CF4D5F4720C4EBDFBEE1123D6554E7C2FB3518190054D205D6B272D2
2025-01-20T03:51:30.000Z,,,0.000001,XRP,0,XRP,0.00000310976,USD,,,F45FA2FC811FA1B528956915FA5305FE3DAC51291108CC8DD7A1B637AEA4AC58
2025-01-20T03:51:02.000Z,,,3400,XRP,0,XRP,10573.184,USD,,,9816A8D4F36A8BA18D93BF242D8F324D9FE36F6D84437A4ECA3DF039DA3EF3B2
2025-01-20T00:37:22.000Z,,,0.000001,XRP,0,XRP,0.00000292841,USD,,,80EF7F1F09A8D856E5A4CA3F2E5C0F6CB57C43DA7EDEF5A33C118C0F5C925EB1
2025-01-20T00:37:22.000Z,,,0.000001,XRP,0,XRP,0.00000292841,USD,,,D9C726B9AD2D4F304A6B5703CAE24B91EFA3CA275491807CDD87D2B0DC9A6663
2025-01-20T00:35:20.000Z,-50000,4F41520000000000000000000000000000000000,,,0,XRP,-18.5954035,USD,,,7F7F75AD8714F0FB4FD461BC04F4982B894A6D567892F503C741B7D31E81EA92
2025-01-20T00:35:20.000Z,,,,,0.000012,XRP,31.19563426955,USD,,,7F7F75AD8714F0FB4FD461BC04F4982B894A6D567892F503C741B7D31E81EA92
2025-01-19T03:58:02.000Z,,,0.000001,XRP,0,XRP,0.00000324559,USD,,,E7CC49FE1C46D1D0C21430BDD29642F789BC517A0F7D0F87D8C632D5CF0F8959
2025-01-19T03:58:02.000Z,,,0.000001,XRP,0,XRP,0.00000324559,USD,,,D7AABDA8EC1670485AF425EB16F05FAC31D201A89C52BCCA0D84EE17230F02B3
2025-01-19T03:57:40.000Z,-50000,4F41520000000000000000000000000000000000,,,0,XRP,-29.22653795,USD,,,887726B89C9A691E730AC7DEEF6DB26A4921670F42E0078A1BC33D52F95B427D
2025-01-19T03:57:40.000Z,,,,,0.000012,XRP,36.05502887311,USD,,,887726B89C9A691E730AC7DEEF6DB26A4921670F42E0078A1BC33D52F95B427D
2025-01-18T15:34:41.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00003807744,USD,,,AED740BB16E52558E0E456EF446E35CFA006E30D75FCBDC6550B7FE90C4BF54B
2025-01-18T15:33:32.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00003807744,USD,,,26997EE118DB5F9E3FE33A731313DA218E4F492CC2C0FE5EC5D89E14B70DB264
2025-01-18T15:32:21.000Z,-0.000012,XRP,,,0.000012,XRP,-0.00003807744,USD,,,373779E7CB8015B01B263E2702D704192698E6F1407DB315969CCD3D2150854C
2025-01-17T04:24:42.000Z,,,0.000001,XRP,0,XRP,0.00000330689,USD,,,42E6E6455261730767A901B37A0C2E70F93642364FB189452D27A87F0FD98F0D
2025-01-17T04:24:42.000Z,,,0.000001,XRP,0,XRP,0.00000330689,USD,,,678BB0A1345683C65EDE622C8E39E1083905669D36DAB5633330BF913C193303
2025-01-17T04:23:20.000Z,-50000,4F41520000000000000000000000000000000000,,,0,XRP,-20.932613699999998346555,USD,,,9473FA72367E185DA36CB4BF9C5269A113975390CCA2C755BCC50D790354F10F
2025-01-17T04:23:20.000Z,,,,,0.000012,XRP,29.3916052511,USD,,,9473FA72367E185DA36CB4BF9C5269A113975390CCA2C755BCC50D790354F10F
2025-01-16T04:49:42.000Z,,,0.000001,XRP,0,XRP,0.00000307638,USD,,,260D97E50B89E9B7E2FDB9BEA65106EA6ED423AD7238DE7222AB940F26248287
2025-01-16T04:49:42.000Z,,,0.000001,XRP,0,XRP,0.00000307638,USD,,,D2EDFE3FD4D14288AE9F457503FFB779F480C72A4D7EACE41141AD8358943F1B
2025-01-16T04:49:22.000Z,-100000,4F41520000000000000000000000000000000000,,,0,XRP,-38.94697079999999692362,USD,,,9F81FA55FFF54677A02F7D72CFDCA09007B29F06185B679531A92EDA420A8397
2025-01-16T04:49:22.000Z,,,,,0.000012,XRP,61.6017715218,USD,,,9F81FA55FFF54677A02F7D72CFDCA09007B29F06185B679531A92EDA420A8397
2025-01-15T14:35:10.000Z,,,0.000001,XRP,0,XRP,0.00000286346,USD,,,5711F8A800D7DC42684C17231A8144A2391D8C0A6385FE7008AEC11600B83CC2
2025-01-15T14:35:01.000Z,,,0.000001,XRP,0,XRP,0.00000286346,USD,,,98F3578F249DC722B807E6937C32D12B1DC34F0572D2E9919B1699E2AE988330
2025-01-15T14:34:40.000Z,-104555.27356,4F41520000000000000000000000000000000000,,,0,XRP,-37.9937825550997323713230869415691002,USD,,,291085017224025B67B6F6FF602716AE3241AC114AE437F93517714BB07AFCA4
2025-01-15T14:34:40.000Z,,,,,0.000012,XRP,39.47121833354,USD,,,291085017224025B67B6F6FF602716AE3241AC114AE437F93517714BB07AFCA4
2025-01-15T14:23:11.000Z,-0.000012,XRP,,,0.000012,XRP,-0.0000343248,USD,,,ECCE598C5957F4C783247E174946C53D7C0557D01584740A6BC52C6E906F5805
2025-01-15T13:58:21.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,2DEE54966CAAC1044507B6E2E08B9A8B9D77F34E85C0D9FD6D198272002120E2
2025-01-15T13:58:20.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,9ACFBF9BD056021B1D10A43FCDA17A82D01ABCC6EB38BCC95748A370E5AAFB7E
2025-01-15T13:57:52.000Z,-5000,JSC,,,0,XRP,-2.90345322314927355054,USD,,,FB49C188CD2B34E298B30A0A2239807DD7A074242E0B1BC97E720B6E805695A0
2025-01-15T13:57:52.000Z,,,,,0.000012,XRP,8.4749733252,USD,,,FB49C188CD2B34E298B30A0A2239807DD7A074242E0B1BC97E720B6E805695A0
2025-01-15T13:56:42.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,D9BE48BC944713A163829FC440F2E47E2E09E40C22DBDCCD4BAB6CD435917D3F
2025-01-15T13:56:42.000Z,,,0.000001,XRP,0,XRP,0.0000028604,USD,,,00D88B8C7FFBDFA3CB27EECBA69628FA79515077E97DBF7F9DE27C485A3A14D9
2025-01-15T13:56:20.000Z,-100000,4F41520000000000000000000000000000000000,,,0,XRP,-37.722325103638450591464340862829528,USD,,,45A0B7A8F37E7959A055235B9A5F33661490D0F32569F4116A4F4AA56EE22F7F
2025-01-15T13:56:20.000Z,,,,,0.000012,XRP,37.7641420996,USD,,,45A0B7A8F37E7959A055235B9A5F33661490D0F32569F4116A4F4AA56EE22F7F
2025-01-13T04:40:52.000Z,,,0.000001,XRP,0,XRP,0.00000252248,USD,,,F20AD532C5DD45E7A204D176831034BFAF6F9A8FA274E740747641AAC02731BC
2025-01-13T04:40:32.000Z,,,600,XRP,0,XRP,1513.488,USD,,,C112275B0BE31AB9E3004CA6E1949E26D93124654399CC250894BF7DA40C3EEE
2025-01-10T20:02:22.000Z,-50.000012,XRP,,,0.000012,XRP,-117.862528287,USD,,,CFC450A044A769FAF6B0627BDEA496F10F1900BE39911F7940316975051EE612
